Id,Category
verification_data/00020839.jpg verification_data/00035322.jpg,0.5104845762252808
verification_data/00002921.jpg verification_data/00021567.jpg,0.43178489804267883
verification_data/00011732.jpg verification_data/00006011.jpg,0.41627511382102966
verification_data/00052778.jpg verification_data/00032428.jpg,0.4530807137489319
verification_data/00053948.jpg verification_data/00045401.jpg,0.45418819785118103
verification_data/00011732.jpg verification_data/00007704.jpg,0.44816839694976807
verification_data/00046783.jpg verification_data/00026289.jpg,0.42053380608558655
verification_data/00002921.jpg verification_data/00045273.jpg,0.4274488389492035
verification_data/00002921.jpg verification_data/00044600.jpg,0.43026649951934814
verification_data/00066200.jpg verification_data/00025554.jpg,0.5158287882804871
verification_data/00002921.jpg verification_data/00056354.jpg,0.44231176376342773
verification_data/00037063.jpg verification_data/00036167.jpg,0.41490182280540466
verification_data/00050526.jpg verification_data/00054179.jpg,0.44119012355804443
verification_data/00011732.jpg verification_data/00015611.jpg,0.4154619872570038
verification_data/00059674.jpg verification_data/00053613.jpg,0.43805694580078125
verification_data/00041961.jpg verification_data/00005627.jpg,0.4190042316913605
verification_data/00032028.jpg verification_data/00041134.jpg,0.4769509732723236
verification_data/00002921.jpg verification_data/00046169.jpg,0.4275835156440735
verification_data/00041961.jpg verification_data/00025094.jpg,0.41324663162231445
verification_data/00002921.jpg verification_data/00052164.jpg,0.4379631578922272
verification_data/00037063.jpg verification_data/00063811.jpg,0.42715856432914734
verification_data/00027326.jpg verification_data/00026866.jpg,0.43360817432403564
verification_data/00011732.jpg verification_data/00044627.jpg,0.42419007420539856
verification_data/00046783.jpg verification_data/00032214.jpg,0.43291693925857544
verification_data/00041961.jpg verification_data/00038653.jpg,0.41859546303749084
verification_data/00012422.jpg verification_data/00060890.jpg,0.4438067078590393
verification_data/00042693.jpg verification_data/00041118.jpg,0.4311017394065857
verification_data/00037063.jpg verification_data/00003837.jpg,0.41955047845840454
verification_data/00034670.jpg verification_data/00024820.jpg,0.45782777667045593
verification_data/00006414.jpg verification_data/00007497.jpg,0.5109072923660278
verification_data/00046783.jpg verification_data/00063564.jpg,0.42520925402641296
verification_data/00060107.jpg verification_data/00063012.jpg,0.4181981384754181
verification_data/00057378.jpg verification_data/00045213.jpg,0.4627634882926941
verification_data/00046783.jpg verification_data/00066612.jpg,0.45688456296920776
verification_data/00019922.jpg verification_data/00010557.jpg,0.47196394205093384
verification_data/00041961.jpg verification_data/00057606.jpg,0.42126986384391785
verification_data/00011732.jpg verification_data/00066400.jpg,0.4305073618888855
verification_data/00024900.jpg verification_data/00006540.jpg,0.45660194754600525
verification_data/00060107.jpg verification_data/00049374.jpg,0.4142608046531677
verification_data/00002921.jpg verification_data/00021342.jpg,0.4162742793560028
verification_data/00014537.jpg verification_data/00019646.jpg,0.431539386510849
verification_data/00022289.jpg verification_data/00000459.jpg,0.46005338430404663
verification_data/00037063.jpg verification_data/00046695.jpg,0.4162159562110901
verification_data/00041961.jpg verification_data/00021567.jpg,0.42613130807876587
verification_data/00008144.jpg verification_data/00028783.jpg,0.4669235348701477
verification_data/00025428.jpg verification_data/00043148.jpg,0.47730714082717896
verification_data/00011732.jpg verification_data/00064466.jpg,0.436653733253479
verification_data/00022597.jpg verification_data/00047766.jpg,0.45023366808891296
verification_data/00002921.jpg verification_data/00052925.jpg,0.432881236076355
verification_data/00062308.jpg verification_data/00043047.jpg,0.4673129618167877
verification_data/00011732.jpg verification_data/00010940.jpg,0.4254021942615509
verification_data/00002425.jpg verification_data/00014525.jpg,0.5074335932731628
verification_data/00060107.jpg verification_data/00038830.jpg,0.4234423339366913
verification_data/00037063.jpg verification_data/00060455.jpg,0.41957852244377136
verification_data/00029277.jpg verification_data/00053692.jpg,0.48314717411994934
verification_data/00015613.jpg verification_data/00024563.jpg,0.5087119340896606
verification_data/00041961.jpg verification_data/00046577.jpg,0.4238835871219635
verification_data/00027340.jpg verification_data/00038568.jpg,0.44507914781570435
verification_data/00068074.jpg verification_data/00001305.jpg,0.48098284006118774
verification_data/00063956.jpg verification_data/00031418.jpg,0.4474138021469116
